"";"cod_mun";"PIB_PC";"PIB_total";"atvidade_economica"
"1";1100015;19611,75;498864,189;"Administração, defesa, educação e saúde públicas e seguridade social"
"2";1100023;21389,67;2296073,705;"Demais serviços"
"3";1100031;22315,8;138893,545;"Administração, defesa, educação e saúde públicas e seguridade social"
"4";1100049;24037,91;2127523,254;"Demais serviços"
"5";1100056;25009,71;448524,171;"Administração, defesa, educação e saúde públicas e seguridade social"
"6";1100064;18413,74;340046,503;"Administração, defesa, educação e saúde públicas e seguridade social"
"7";1100072;38156,05;330393,214;"Produção florestal, pesca e aquicultura"
"8";1100080;12413,35;215992,256;"Administração, defesa, educação e saúde públicas e seguridade social"
"9";1100098;17498,71;577982,298;"Administração, defesa, educação e saúde públicas e seguridade social"
"10";1100106;16955,8;804569,608;"Administração, defesa, educação e saúde públicas e seguridade social"
"11";1100114;25301,65;1413628,295;"Demais serviços"
"12";1100122;22814,71;3026758,784;"Demais serviços"
"13";1100130;15724,6;607111,207;"Administração, defesa, educação e saúde públicas e seguridade social"
"14";1100148;16598,42;360965,751;"Administração, defesa, educação e saúde públicas e seguridade social"
"15";1100155;19560,69;777713,471;"Administração, defesa, educação e saúde públicas e seguridade social"
"16";1100189;28288,63;1076410,808;"Administração, defesa, educação e saúde públicas e seguridade social"
"17";1100205;31793,2;16514535,198;"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
"18";1100254;18760,18;415050,126;"Administração, defesa, educação e saúde públicas e seguridade social"
"19";1100262;27767,17;106320,48;"Pecuária, inclusive apoio à pecuária"
"20";1100288;22734,08;1297524,797;"Administração, defesa, educação e saúde públicas e seguridade social"
"21";1100296;19347,7;158612,459;"Administração, defesa, educação e saúde públicas e seguridade social"
"22";1100304;26723,64;2555581,99;"Demais serviços"
"23";1100320;26876,64;649904,113;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"24";1100338;16372,8;473026,469;"Pecuária, inclusive apoio à pecuária"
"25";1100346;15685,89;262691,537;"Administração, defesa, educação e saúde públicas e seguridade social"
"26";1100379;23883,26;335440,383;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"27";1100403;15288,98;319784,39;"Administração, defesa, educação e saúde públicas e seguridade social"
"28";1100452;17063,65;666233,138;"Administração, defesa, educação e saúde públicas e seguridade social"
"29";1100502;16744,93;168303,313;"Administração, defesa, educação e saúde públicas e seguridade social"
"30";1100601;21793,88;140788,446;"Pecuária, inclusive apoio à pecuária"
